OS,Casuistica,Fecha,Observacion
-28669094,cerrar desde escritorio,,
-28666609,cerrar desde escritorio,,
-28666606,cerrar desde escritorio,,
128201046,caja concentradora,,
128199740,canasta,,
127651362,brigada pesada,,
128100618,brigada pesada,,
128099898,brigada pesada,,
128199633,ejecutado,,
128199319,canasta,,
128112385,canasta,,
128121610,brigada pesada,,
128119013,brigada pesada,,
128183406,canasta,,
128202220,caja concentradora,,
128260719,canasta,,
128109488,ejecutado,,
128268821,canasta,,
128036219,brigada pesada,,
128260596,canasta,,
128191344,ejecutado,,
128272295,brigada pesada,,
128265370,canasta,,
128260708,brigada pesada,,
128262419,ejecutado,25/4/2025,
128277615,ejecutado,,
128268751,brigada pesada,,
125980881,canasta,,
125980994,no programar,,
125980785,canasta,,
128275111,brigada pesada,,
128255012,brigada pesada,,
128277790,brigada pesada,,
128255186,canasta,,
128266663,brigada pesada,,
128275366,ejecutado,,
128272634,canasta,,
128277398,canasta,,
128264000,canasta,,
128204988,ejecutado,,
128254531,caja concentradora,,
128205229,canasta,,
128278032,brigada pesada,,
128186333,canasta,,
128266670,brigada pesada,,
128181520,brigada pesada,,
128277642,ejecutado,,
128266365,ejecutado,,
128202903,ejecutado,,
128264790,brigada pesada,,
128267831,canasta,,
128268395,brigada pesada,,
128260632,caja concentradora,,
128261498,ejecutado,,
128203158,ejecutado,,
128204556,brigada pesada,,
128109552,canasta,,
128109476,canasta,,
128109480,canasta,,
128204322,brigada pesada,,
128183025,ejecutado,,
128109475,ejecutado,,
128342669,brigada pesada,,
128339894,canasta,,
128342436,canasta,,
128339029,ejecutado,26/4/2025,
128357419,brigada pesada,,
128341118,canasta,,
128279830,canasta,,
128348177,ejecutado,,
128350919,brigada pesada,,
128356241,brigada pesada,,
128347363,canasta,,
128277589,ejecutado,,
128339898,brigada pesada,,
128109452,no programar,,
128109479,canasta,,
128356622,primaria,,
128346860,canasta,,
128353575,brigada pesada,,
128324798,brigada pesada,,
128356792,ejecutado,,
128325455,brigada pesada,,
128341351,brigada pesada,,
128346772,ejecutado,,
128349447,canasta,,
128346388,ejecutado,,
128354011,canasta,,
128346387,brigada pesada,,
128356471,ejecutado,,
128353875,ejecutado,,
128279682,ejecutado,,
128347834,ejecutado,,
128354724,canasta,,
128346864,primaria,,
125980896,canasta,,
128399719,canasta,,
128365298,canasta,,
128367321,brigada pesada,,
128474109,canasta,,
128365953,especial,,
128276258,brigada pesada,28/4/2025,
128359688,canasta,,
128476759,canasta,,
128109555,no programar,,
128109459,no programar,,
128366989,ejecutado,,
128472958,ejecutado,,
128479112,canasta,,
128365641,ejecutado,,
128388389,canasta,,
128364943,brigada pesada,,
128360695,canasta,,
128385501,ejecutado,,
128474939,ejecutado,,
128366949,brigada pesada,,
128338697,canasta,,
128190674,canasta,,
123415215,brigada pesada,,
128488240,canasta,,
122038505,brigada pesada,,
128505341,brigada pesada,,
128510148,brigada pesada,,
128497838,brigada pesada,,
128567424,ejecutado,29/4/2025,
128499848,canasta,,
128506976,canasta,,
128500962,canasta,,
128495146,canasta,,
128482468,brigada pesada,,
128482794,canasta,,
128198630,canasta,,
128488423,brigada pesada,,
128489267,brigada pesada,,
128499545,brigada pesada,,
128508554,canasta,,
128492517,canasta,,
128498341,brigada pesada,,
128508921,canasta,,
128504090,canasta,,
128499292,ejecutado,,
128504685,canasta,,
128602620,ejecutado,,
128602805,ejecutado,,
128602564,ejecutado,,
128602977,ejecutado,,
128602674,ejecutado,,
128602905,ejecutado,,
128602724,ejecutado,,
128572070,brigada pesada,,
128582532,canasta,,
128579495,brigada pesada,,
128576828,brigada pesada,30/4/2025,
128579326,brigada pesada,,
128607216,ejecutado,,
128560245,ejecutado,,
128580863,canasta,,
128583751,brigada pesada,,
128511415,canasta,,
128584940,ejecutado,,
128596295,brigada pesada,,
128563890,ejecutado,,
128370993,ejecutado,,
128596587,ejecutado,,
128579720,brigada pesada,,
128566034,brigada pesada,,
128567006,brigada pesada,,
128504699,canasta,,
128646772,canasta,,
128578544,brigada pesada,,
128478831,ejecutado,,
128381198,ejecutado,,
128625622,ejecutado,,
128501107,ejecutado,,
128501103,ejecutado,,
128501102,ejecutado,,
128501104,ejecutado,,
128197440,brigada pesada,,
128504802,ejecutado,,
128642699,canasta,,
128645382,canasta,,
128663146,especial,,
128658162,canasta,1/5/2025,
128691188,ejecutado,,
128565526,brigada pesada,,
128699282,brigada pesada,2/5/2025,
128673800,canasta,,
128706725,brigada pesada,,
128632304,brigada pesada,,
128693891,ejecutado,,
128705117,canasta,,
128603317,canasta,,
128632557,brigada pesada,,
128632302,brigada pesada,,
128648288,ejecutado,,
128018023,brigada pesada,,
126643967,brigada pesada,,
127629086,ejecutado,,
128669059,ejecutado,,
128645633,brigada pesada,,
128643222,brigada pesada,,
128702382,canasta,,
128699146,brigada pesada,,
128691467,brigada pesada,,
128648895,brigada pesada,,
128272420,brigada pesada,,
128577068,ejecutado,,
128255352,canasta,,
128703185,canasta,,
128738340,canasta,,
128641323,canasta,,
128665224,ejecutado,,
128743694,brigada pesada,3/5/2025,
128730590,brigada pesada,,
128738093,ejecutado,,
128741311,ejecutado,,
128726923,ejecutado,,
128734636,brigada pesada,,
128720136,ejecutado,,
128633702,ejecutado,,
128730176,brigada pesada,,
128504723,canasta,,
128742460,canasta,,
128640510,brigada pesada,,
128745465,ejecutado,,
128719473,canasta,,
128720858,brigada pesada,,
128736311,canasta,,
128744324,ejecutado,,
121867838,canasta,,
128645748,caja concentradora,,
128665783,no programar,,
128505755,ejecutado,,
128751450,ejecutado,5/5/2025,
128498015,brigada pesada,,
128498143,brigada pesada,,
128761823,ejecutado,,
128764103,brigada pesada,,
128827004,brigada pesada,,
128764314,ejecutado,,
128762685,ejecutado,,
128830389,brigada pesada,,
128757682,ejecutado,,
128829288,ejecutado,,
128763376,ejecutado,,
128764191,canasta,,
128831259,brigada pesada,,
128829135,brigada pesada,,
128829629,canasta,,
128829018,canasta,,
128661687,ejecutado,,
128827974,ejecutado,,
128763433,ejecutado,,
128745884,ejecutado,,
128826741,brigada pesada,,
128598360,brigada pesada,,
128598888,brigada pesada,,
128720039,brigada pesada,,
128649567,canasta,,
128665784,canasta,,
128827713,ejecutado,,
128900264,especial,,
128826277,ejecutado,,
128896216,ejecutado,,
128896709,ejecutado,,
128896710,ejecutado,,
128896363,ejecutado,,
128896725,ejecutado,,
128896620,ejecutado,,
128896674,ejecutado,,
128896304,ejecutado,,
128896139,ejecutado,,
128896525,ejecutado,,
128896448,ejecutado,,
128896571,ejecutado,,
128896042,ejecutado,,
128895934,ejecutado,,
128896410,ejecutado,,
128665849,no programar,,
128916758,ejecutado,,
128912387,canasta,,
128905454,canasta,,
128763286,brigada pesada,6/5/2025,
128903467,ejecutado,,
128918324,brigada pesada,,
128898036,brigada pesada,,
128898406,brigada pesada,,
128919602,ejecutado,,
128833310,brigada pesada,,
128912383,ejecutado,,
128864856,canasta,,
128906252,ejecutado,,
128901721,ejecutado,,
128897424,brigada pesada,,
128912726,ejecutado,,
128909210,ejecutado,,
128919179,brigada pesada,,
128906384,ejecutado,,
128919287,brigada pesada,,
128834216,brigada pesada,,
128900803,brigada pesada,,
128901163,brigada pesada,,
128864302,brigada pesada,,
128832929,brigada pesada,,
128610054,ejecutado,,
128917051,brigada pesada,,
128899737,brigada pesada,,
128911834,ejecutado,,
128903723,brigada pesada,,
128902306,brigada pesada,,
128913148,brigada pesada,,
128902025,canasta,,
128585994,brigada pesada,,
128898781,ejecutado,,
128499601,brigada pesada,,
128499731,brigada pesada,,
128500047,brigada pesada,,
128584647,canasta,,
128660332,brigada pesada,,
128660718,brigada pesada,,
128905319,brigada pesada,,
128707538,ejecutado,,
128584208,brigada pesada,,
129011795,brigada pesada,,
129009675,canasta,,
129009669,canasta,,
129009668,canasta,7/5/2025,
129009670,canasta,,
129009667,canasta,,
129009671,canasta,,
129011747,ejecutado,,
128833944,canasta,,
128991162,ejecutado,,
129009803,ejecutado,,
129006131,brigada pesada,,
128905888,canasta,,
129008603,canasta,,
129009802,brigada pesada,,
128996512,ejecutado,,
129006394,especial,,
129008610,ejecutado,,
128999715,canasta,,
128897146,ejecutado,,
128991161,ejecutado,,
128991153,ejecutado,,
128977323,brigada pesada,,
129009977,ejecutado,,
128999416,ejecutado,,
128665848,canasta,,
128999431,canasta,,
129009683,canasta,,
129009682,canasta,,
129008014,brigada pesada,,
128992006,ejecutado,,
129010921,ejecutado,,
128997382,ejecutado,,
129089616,primaria,,
128990872,ejecutado,,
129000699,canasta,,
129091372,ejecutado,,
129098405,brigada pesada,8/5/2025,
129100346,brigada pesada,,
129099863,ejecutado,,
129088261,ejecutado,,
129085257,canasta,,
129086719,brigada pesada,,
129101071,ejecutado,,
129100258,brigada pesada,,
129038688,ejecutado,,
129099568,ejecutado,,
129089013,ejecutado,,
129014291,canasta,,
129101246,ejecutado,,
129092960,ejecutado,,
129013313,ejecutado,,
129100682,brigada pesada,,
129089413,canasta,,
129100077,ejecutado,,
129101339,ejecutado,,
129100575,brigada pesada,,
129091639,ejecutado,,
129086498,brigada pesada,,
129012672,ejecutado,,
128990682,brigada pesada,,
128992198,brigada pesada,,
129099206,ejecutado,,
129100525,brigada pesada,,
129183495,especial,,
129183022,ejecutado,,
129093678,ejecutado,,
129091649,brigada pesada,9/5/2025,
129014502,ejecutado,,
129090552,ejecutado,,
129174055,canasta,,
129183924,ejecutado,,
129137533,ejecutado,,
129176402,brigada pesada,,
129174987,ejecutado,,
129092187,brigada pesada,,
129103493,ejecutado,,
129099467,ejecutado,,
129173030,ejecutado,,
129174847,ejecutado,,
129169117,brigada pesada,,
129103319,canasta,,
129178419,ejecutado,,
129176075,ejecutado,,
129101636,ejecutado,,
129181704,no pertenece,,
129167628,ejecutado,,
129184390,especial,,
129179974,canasta,,
129099579,ejecutado,,
129183754,ejecutado,,
129103819,ejecutado,,
129143366,ejecutado,,
129169517,no pertenece,,
129167635,canasta,,
129184577,ejecutado,,
129171126,ejecutado,,
129185001,ejecutado,,
129184837,ejecutado,,
129086339,ejecutado,,
129172620,ejecutado,,
129184113,ejecutado,,
129185208,ejecutado,,
129170370,brigada pesada,,
125980812,canasta,,
128665854,canasta,,
129145975,ejecutado,,
129181453,canasta,,
129067720,ejecutado,,
129187659,especial,10/5/2025,
129203254,canasta,,
129203582,ejecutado,,
129204780,brigada pesada,,
12190889,canasta,,
129192979,ejecutado,,
129193523,ejecutado,,
129187875,brigada pesada,,
129188438,ejecutado,,
129009704,canasta,,
129197061,ejecutado,,
129203615,canasta,,
129056994,ejecutado,,
129196296,canasta,,
129196662,ejecutado,,
129193524,brigada pesada,,
129196450,ejecutado,,
129200513,ejecutado,,
128504688,canasta,,
129200221,canasta,,
129207067,ejecutado,,
129203546,ejecutado,,
129277247,brigada pesada,,
129275646,ejecutado,,
129277401,ejecutado,12/5/2025,
129213758,canasta,,
129277199,brigada pesada,,
129215364,ejecutado,,
129211447,ejecutado,,
129276449,ejecutado,,
129275680,ejecutado,,
129200364,ejecutado,,
129208427,canasta,,
129203865,canasta,,
129214474,ejecutado,,
129205541,ejecutado,,
129211776,ejecutado,,
129190889,ejecutado,,
129277406,brigada pesada,,
129275816,ejecutado,,
129276372,ejecutado,,
129276463,ejecutado,,
129206486,canasta,,
129275397,ejecutado,,
129196636,ejecutado,,
129210586,brigada pesada,,
129345027,ejecutado,,
129100598,especial,,
128665878,visita posterior Jean Muñoz,,
128665851,canasta,,
128109465,canasta,,
129355459,ejecutado,,
129205179,ejecutado,,
128665870,no permite normalizar,,
129352858,canasta,,
129009656,canasta,,
129358326,canasta,13/5/2025,
129171112,especial,,
129171110,canasta,,
128660662,canasta,,
129212818,brigada pesada,,
129083135,no pertenece,,
128920748,canasta,,
129100460,canasta,,
129353736,canasta,,
129355215,canasta,,
129210307,especial,,
129209625,ejecutado,,
129357661,ejecutado,,
129359318,canasta,,
129277999,ejecutado,,
129276352,ejecutado,,
129275735,ejecutado,,
129206154,ejecutado,,
129359196,ejecutado,,
1011054,Alveys Fonseca,,
1008609,Yamid Villazón,,
1008276,Deibys Hernández,,
129425409,ejecutado,,
129436840,ejecutado,,
129448581,brigada pesada,,
129429680,ejecutado,14/5/2025,
129430705,especial,,
129432281,ejecutado,,
129368048,ejecutado,,
129435731,ejecutado,,
129435290,ejecutado,,
129433878,ejecutado,,
129439893,brigada pesada,,
129359555,brigada pesada,,
129426072,brigada pesada,,
129278511,canasta,,
129438890,canasta,,
129429905,canasta,,
129438899,ejecutado,,
129348814,canasta,,
129435212,canasta,,
129357747,brigada pesada,,
129428087,ejecutado,,
129431192,ejecutado,,
129353498,ejecutado,,
129526819,canasta,,
129360657,canasta,,
129450803,brigada pesada,,
129358916,canasta,,
129432662,ejecutado,,
129431177,especial,,
129432003,canasta,,
129442825,especial,,
129432841,canasta,,
129434701,brigada pesada,,
129432913,ejecutado,,
128665819,poste en mal estado,,
129426575,canasta,,
129442868,ejecutado,,
125177240,canasta,,
129358366,ejecutado,,
129438855,ejecutado,,
129479131,ejecutado,,
129355676,ejecutado,,
129436115,ejecutado,,
129428541,canasta,,
123071734,programar,,
129433210,brigada pesada,,
129361371,ejecutado,,
129360650,ejecutado,,
129440843,brigada pesada,,
129279491,ejecutado,,
129357934,ejecutado,,
129431656,brigada pesada,,
129435417,ejecutado,,
129358014,ejecutado,,
129342673,no permite normalizar,,
129593071,brigada pesada,,
129582984,ejecutado,,
129595038,ejecutado,,
129506422,ejecutado,15/5/2025,
129506427,ejecutado,,
129571470,brigada pesada,,
129584083,brigada pesada,,
129593365,canasta,,
129579241,especial,,
129579359,ejecutado,,
129582693,ejecutado,,
129573769,ejecutado,,
129586720,ejecutado,,
129506295,canasta,,
129570782,ejecutado,,
129576658,ejecutado,,
129592919,ejecutado,,
129581710,ejecutado,,
129587589,ejecutado,,
129582735,ejecutado,,
129573776,especial,,
129592256,ejecutado,,
129577721,brigada pesada,,
129430389,brigada pesada,,
129581716,canasta,,
129594656,ejecutado,,
129592199,canasta,,
129692523,brigada pesada,,
129688451,brigada pesada,,
128504712,canasta,,
129617782,especial,16/5/2025,
129691115,ejecutado,,
129683364,ejecutado,,
128665893,canasta,,
129699314,ejecutado,,
12961125,canasta,,
129691702,ejecutado,,
129190097,canasta,,
129689360,canasta,,
129699293,brigada pesada,,
129697044,ejecutado,,
129689876,ejecutado,,
129620902,ejecutado,,
129442856,ejecutado,,
129431761,ejecutado,,
129348301,ejecutado,,
128665892,canasta,,
128109477,canasta,,
129690598,brigada pesada,,
129703527,brigada pesada,,
129687104,ejecutado,,
129275331,ejecutado,,
129590267,brigada pesada,,
129695459,ejecutado,,
129617343,canasta,,
124278804,canasta,,
124278807,canasta,,
129737540,ejecutado,,
129749503,ejecutado,,
129585325,ejecutado,,
129734953,ejecutado,,
129753719,ejecutado,,
129759388,brigada pesada,,
129760272,ejecutado,17/5/2025,
129732288,canasta,,
122123010,no permite normalizar,,
129733445,ejecutado,,
129728782,canasta,,
129729487,ejecutado,,
129622243,ejecutado,,
129749619,ejecutado,,
129746452,ejecutado,,
129739911,ejecutado,,
129740229,ejecutado,,
129755369,brigada pesada,,
129702271,brigada pesada,,
129756658,ejecutado,,
129744384,canasta,,
124810925,no pertenece,,
129343191,ejecutado,,
129736808,ejecutado,,
129689031,ejecutado,,
129738374,brigada pesada,,
129731275,ejecutado,,
129760256,ejecutado,,
129756579,canasta,,
129759177,ejecutado,,
129767466,canasta,,
129773170,canasta,,
129734386,no pertenece,,
129698906,canasta,18/5/2025,
129733716,ejecutado,,
129772244,brigada pesada,,
129702620,especial,,
129877852,ejecutado,,
129778576,brigada pesada,,
129878004,ejecutado,,
129873081,ejecutado,,
129587941,no permite normalizar,,
129591658,no permite normalizar,,
129584911,brigada pesada,,
129585622,especial,,
129874905,ejecutado,,
129876881,brigada pesada,,
129876923,canasta,,
129876613,ejecutado,,
129873701,ejecutado,,
129435811,no permite normalizar,,
129877400,canasta,,
129874875,ejecutado,,
129440554,canasta,,
128504683,canasta,,
123991855,canasta,,
123670728,canasta,,
123991843,poste en predio vecino,,
123670754,canasta,,
129876353,ejecutado,,
129876498,ejecutado,,
129781865,ejecutado,,
129780376,ejecutado,,
129875831,ejecutado,,
129783599,brigada pesada,,
129771314,ejecutado,,
129873073,ejecutado,,
129772699,ejecutado,,
128665839,no permite normalizar,,
129749828,ejecutado,,
129873020,ejecutado,,
122122755,no permite revisión,,
124633702,no programar,,
122122635,no programar,,
122122903,no programar,,
124633693,no programar,,
124633700,no programar,,
124633722,no programar,,
125980779,no programar,,
122122885,no programar,,
125980780,no programar,,
125980791,no programar,,
125980772,no programar,,
124633689,no programar,,
122122690,no programar,,
124725270,no programar,,
122122673,no programar,,
123670718,no programar,,
125980796,no programar,,
122122990,no programar,,
123670682,no programar,,
123837214,no programar,,
122123058,no programar,,
124810978,no programar,,
126639840,no programar,,
124236395,no programar,,
124810998,no programar,,
123316830,no programar,,
122122817,no programar,,
122123057,no programar,,
124810920,no programar,,
124810966,no programar,,
126379687,no programar,,
126655332,no programar,,
124278719,no programar,,
124278722,no programar,,
124151717,no programar,,
127683918,no programar,,
122707791,no programar,,
124278712,no programar,,
121867595,no programar,,
124810977,no programar,,
124151691,no programar,,
122273220,no programar,,
125022937,no programar,,
123160678,no programar,,
125993777,no programar,,
127255862,no permite normalizar,,
125993778,no programar,,
125993776,no programar,,
126822208,no programar,,
124342214,no programar,,
125993782,no programar,,
125993786,no programar,,
125993787,no programar,,
125993834,no programar,,
125993835,no programar,,
125993827,no programar,,
125993833,no programar,,
125993806,no programar,,
122467992,no programar,,
125993808,no programar,,
125207605,no programar,,
125207609,no programar,,
125207578,no programar,,
125207596,no programar,,
125207597,no programar,,
125207617,no programar,,
125993781,no programar,,
125993810,no programar,,
125993780,no programar,,
122122640,no programar,,
122122641,no programar,,
125993783,no programar,,
125993784,no programar,,
125993788,no programar,,
125993789,no programar,,
125993799,no programar,,
125993800,no programar,,
125993817,no programar,,
125993818,no programar,,
127629005,no programar,,
127629004,no programar,,
127629003,no programar,,
127629071,no programar,,
127347512,no programar,,
127347534,no programar,,
127347532,no programar,,
127657357,no programar,,
127256449,no programar,,
127347509,no programar,,
124810975,no programar,,
126327716,no programar,,
125093216,no programar,,
122122678,no programar,,
122122680,no programar,,
122122681,no programar,,
123312213,no programar,,
123168303,no programar,,
122107282,no programar,,
124278724,no programar,,
124278726,no programar,,
123937877,no programar,,
123991940,no programar,,
124711917,no programar,,
124712043,no programar,,
124278740,no programar,,
124267578,no programar,,
127334837,no permite normalizar,,
127698531,no programar,,
122121579,no permite normalizar,,
122121624,no permite normalizar,,
127698414,SUR,,
127698367,SUR,,
127657569,SUR,,
127657364,SUR,,
127657406,SUR,,
127657463,SUR,,
127657542,no permite normalizar,,
127657668,no permite normalizar,,
127657410,SUR,,
127698467,SUR,,
129617376,no programar,,
129617394,no programar,,
129617375,no programar,,
129617374,no programar,,
129617373,no programar,,
129617365,no programar,,
129617366,no programar,,
129617369,no programar,,
129617370,no programar,,
129617371,no programar,,
129617368,no programar,,
129617372,no programar,,
129617360,no programar,,
129617363,no programar,,
129617364,no programar,,
129617335,no programar,,
129617336,no programar,,
129617334,no programar,,
129617333,no programar,,
129617359,no programar,,
122276650,cliente no permite intervencion,,
122123102,no programar,,
124810972,no programar,,
124360581,no programar,,
122122722,no programar,,
123991852,no programar,,
123991854,no programar,,
122123032,no programar,,
124810949,no programar,,
129949003,ejecutado,,
129955182,ejecutado,,
129880816,canasta,,
129783377,ejecutado,20/5/2025,
129977154,canasta,,
129976126,ejecutado,,
129977071,brigada pesada,,
129976423,ejecutado,,
129918120,canasta,,
129976337,ejecutado,,
129969905,no permite normalizar,,
129750558,canasta,,
129954146,brigada pesada,,
129971537,Dificil acceso,,
129972683,Dificil acceso,,
129969525,ejecutado,,
129978619,canasta,,
129970757,ejecutado,,
129967943,ejecutado,,
129970824,ejecutado,,
129978231,ejecutado,,
129743639,ejecutado,,
129783598,brigada pesada,,
129962474,ejecutado,,
129959272,ejecutado,,
129779173,ejecutado,,
129952730,brigada pesada,,
128665896,canasta,,
129880815,brigada pesada,,
129964010,ejecutado,,
129963725,ejecutado,,
122123093,no programar,,
122123107,no programar,,
123238808,no programar,,
124278745,no programar,,
125284839,no programar,,
125980762,no programar,,
125980818,no programar,,
125980832,no programar,,
127347511,no programar,,
127482792,no programar,,
127558897,no programar,,
128196082,no permite revisión,,
128196084,no permite revisión,,
129961282,ejecutado,,
129007942,ejecutado,,
129977152,brigada pesada,,
129880429,ejecutado,,
129950139,ejecutado,,
129783337,ejecutado,,
129428699,ejecutado,,
129949518,ejecutado,,
129978367,ejecutado,,
129953887,canasta,,
129966485,brigada pesada,,
129964514,canasta,,
129962209,especial,,
128504669,poste en predio vecino,,
130097475,brigada pesada,,
130083467,ejecutado,,
130089089,ejecutado,,
130095751,ejecutado,21/5/2025,
130102672,ejecutado,,
129999821,ejecutado,,
129192382,poste en mal estado,,
130082849,canasta,,
130102834,ejecutado,,
129086367,ejecutado,,
130001256,canasta,,
130085312,ejecutado,,
130097527,ejecutado,,
130097380,ejecutado,,
130093903,ejecutado,,
130088944,ejecutado,,
130097379,canasta,,
130102894,ejecutado,,
129691125,ejecutado,,
130092806,brigada pesada,,
130102774,especial,,
130083208,especial,,
130088871,ejecutado,,
130099564,brigada pesada,,
130096707,ejecutado,,
130089379,ejecutado,,
130103340,brigada pesada,,
129760237,canasta,,
13013405,canasta,,
130201888,ejecutado,,
130103405,canasta,,
13023497,canasta,,
130105058,ejecutado,,
130215789,canasta,22/5/2025,
130103477,canasta,,
130210467,canasta,,
130213281,ejecutado,,
130209368,canasta,,
130213457,brigada pesada,,
130178761,canasta,,
130206986,brigada pesada,,
130206244,ejecutado,,
130213511,canasta,,
130205967,brigada pesada,,
130213424,ejecutado,,
130201810,ejecutado,,
130211239,canasta,,
129965217,canasta,,
130215435,brigada pesada,,
130205326,primaria,,
130203062,no pertence,,
130302616,ejecutado,,
130305342,brigada pesada,,
130313029,ejecutado,,
128665852,no permite normalizar,23/5/2025,
130270196,canasta,,
130299654,ejecutado,,
130301686,brigada pesada,,
130313796,ejecutado,,
129948964,ejecutado,,
130288769,ejecutado,,
130296908,especial,,
130306624,canasta,,
130274939,brigada pesada,,
130316248,ejecutado,,
129734563,ejecutado,,
130216005,brigada pesada,,
130272040,brigada pesada,,
130303410,ejecutado,,
130312523,canasta,,
130274929,brigada pesada,,
130313155,ejecutado,,
130212602,ejecutado,,
130402907,ejecutado,,
130297199,no pertenece,,
130286827,especial,,
130401220,ejecutado,,
130211118,canasta,,
130415817,ejecutado,,
130413987,ejecutado,24/5/2025,
130215957,ejecutado,,
129439259,canasta,,
129192084,acceso impedido,,
130421510,canasta,,
130408102,brigada pesada,,
130403845,especial,,
130422155,ejecutado,,
130408117,canasta,,
130400421,ejecutado,,
129734567,ejecutado,,
130423433,ejecutado,,
130421388,ejecutado,,
130406758,ejecutado,,
130304874,ejecutado,,
130211048,ejecutado,,
130213153,ejecutado,,
130399731,canasta,,
130422942,ejecutado,,
130407461,ejecutado,,
130414066,canasta,,
130421665,canasta,26/5/2025,
130441837,brigada pesada,,
130418645,ejecutado,,
130526502,ejecutado,,
130424498,ejecutado,,
130522388,ejecutado,,
130411234,canasta,,
130299230,ejecutado,,
130524129,ejecutado,,
130211107,canasta,,
130444469,brigada pesada,,
130423053,ejecutado,,
130405779,ejecutado,,
130524760,ejecutado,,
130425587,ejecutado,,
130525893,ejecutado,,
129741136,canasta,,
130411995,ejecutado,,
130211144,canasta,,
129739788,no permite normalizar,,
130441945,ejecutado,,
130522261,ejecutado,,
130441442,ejecutado,,
130441714,canasta,,
130439039,ejecutado,,
130402651,brigada pesada,,
130402631,ejecutado,,
130604679,ejecutado,,
130526185,ejecutado,,
130403730,ejecutado,,
130416623,canasta,,
130337922,ejecutado,,
130426147,ejecutado,,
130620256,ejecutado,,
130102477,ejecutado,,
129948994,ejecutado,,
130619582,brigada pesada,27/5/2025,
129434322,ejecutado,,
130607181,canasta,,
130211105,canasta,,
130211104,canasta,,
130604176,canasta,,
130624572,ejecutado,,
130619762,ejecutado,,
129009663,no permite normalizar,,
130527204,ejecutado,,
130616139,ejecutado,,
130590306,ejecutado,,
130622091,ejecutado,,
130608239,canasta,,
130526125,ejecutado,,
130446135,ejecutado,,
130423941,ejecutado,,
130425688,ejecutado,,
130445664,ejecutado,,
130527156,canasta,,
130605288,ejecutado,,
130597170,canasta,,
130619401,ejecutado,,
130526180,ejecutado,,
130443907,ejecutado,,
130627098,ejecutado,,
130610749,ejecutado,,
129876922,ejecutado,,
129779559,ejecutado,,
130440347,ejecutado,,
130080525,canasta,,
130445123,ejecutado,,
130404627,brigada pesada,,
130608711,brigada pesada,,
130615980,canasta,,
130525244,ejecutado,,
130620526,ejecutado,,
129965926,ejecutado,,
130307943,canasta,,
130307945,canasta,,
130620333,brigada pesada,,
130527269,ejecutado,,
130676328,canasta,,
130592155,ejecutado,28/5/2025,
130687549,canasta,,
130652186,ejecutado,,
130667922,ejecutado,,
130672428,ejecutado,,
130309711,ejecutado,,
130663621,ejecutado,,
130524122,ejecutado,,
130684639,ejecutado,,
130679996,ejecutado,,
130681458,brigada pesada,,
130670359,no pertenece,,
130606814,ejecutado,,
129592447,no permite normalizar,,
129592623,no permite normalizar,,
129592711,no permite normalizar,,
129587664,no permite normalizar,,
129586742,no permite normalizar,,
129592198,no permite normalizar,,
129592651,no permite normalizar,,
130671097,no pertenece,,
130622388,ejecutado,,
130683906,ejecutado,,
130671305,ejecutado,,
130678124,brigada pesada,,
130670361,ejecutado,,
130664971,brigada pesada,,
130733468,ejecutado,,
130526203,ejecutado,,
130425017,ejecutado,,
130739162,ejecutado,,
130739105,ejecutado,,
130688006,brigada pesada,,
130723382,brigada pesada,,
130740642,canasta,,
130740135,brigada pesada,29/5/2025,
130730344,brigada pesada,,
130744486,ejecutado,,
130741475,ejecutado,,
130720162,especial,,
130720686,brigada pesada,,
130712052,brigada pesada,,
130670743,ejecutado,,
130741355,ejecutado,,
130733076,ejecutado,,
130404724,ejecutado,,
130712666,ejecutado,,
130425663,ejecutado,,
130440570,ejecutado,,
130676409,ejecutado,,
130733216,ejecutado,,
130718592,brigada pesada,,
130436257,brigada pesada,,
130735730,ejecutado,,
130712068,ejecutado,,
130744245,brigada pesada,,
129734677,brigada pesada,,
130414426,canasta,,
130740670,brigada pesada,,
130732968,ejecutado,,
130614895,ejecutado,,
130805031,ejecutado,,
130809910,no pertenece,,
130810796,brigada pesada,,
130819795,brigada pesada,,
130808326,brigada pesada,,
130817111,ejecutado,30/5/2025,
130844062,ejecutado,,
130806317,ejecutado,,
129100326,canasta,,
130743881,canasta,,
130813117,ejecutado,,
130802029,ejecutado,,
130795550,ejecutado,,
130813107,canasta,,
130732539,canasta,,
130822864,ejecutado,,
130820757,especial,,
130811002,ejecutado,,
130797064,ejecutado,,
130818951,ejecutado,,
130819630,brigada pesada,,
130802549,ejecutado,,
130823509,ejecutado,,
130822004,ejecutado,,
130743557,ejecutado,,
130732550,ejecutado,,
130732518,brigada pesada,,
130817569,brigada pesada,,
130799224,ejecutado,,
130858131,brigada pesada,,
130863540,ejecutado,,
130848574,ejecutado,,
130856458,ejecutado,31/5/2025,
130859153,ejecutado,,
130849317,ejecutado,,
130880518,ejecutado,,
130854648,especial,,
130679042,ejecutado,,
130882041,canasta,,
130856518,ejecutado,,
130790052,ejecutado,,
130566665,canasta,,
130933206,ejecutado,,
130844401,ejecutado,,
130906316,brigada pesada,,
130931017,brigada pesada,3/6/2025,
130885974,ejecutado,,
130888827,ejecutado,,
130932881,brigada pesada,,
130933906,brigada pesada,,
130937736,canasta,,
130931082,ejecutado,,
