OS,Casuistica,Fecha,Observacion
-28649147,brigada pesada,,
-28649627,brigada pesada,,
-28651156,ejecutado,,
-28651167,brigada pesada,,
-28651151,brigada pesada,,
-28651150,ejecutado,,
-28651149,ejecutado,,
-28651152,ejecutado,,
-28649937,ejecutado,,
-28652215,caja concentradora,,
-28652928,caja concentradora,,
-28652951,caja concentradora,,
-28652973,caja concentradora,,
-28652988,caja concentradora,,
-28652962,caja concentradora,,
-28652987,caja concentradora,,
-28652205,caja concentradora,,
-28652200,caja concentradora,,
-28651014,caja concentradora,,
-28652218,caja concentradora,,
-28652214,caja concentradora,,
-28652968,caja concentradora,,
-28651317,canasta,11/1/2025,
-28652391,especial,,
-28651312,ejecutado,,
-28652398,canasta,,
-28652395,ejecutado,,
-28651314,ejecutado,,
-28651181,ejecutado,,
-28652392,especial,,
-28653016,brigada pesada,,
-28653015,ejecutado,,
-28652381,ejecutado,,
-28652379,especial,,
-28652393,ejecutado,,
-28652384,brigada pesada,,
-28652390,ejecutado,,
-28652383,ejecutado,,
-28652394,canasta,,
-28652397,ejecutado,,
-28652389,brigada pesada,,
-28651313,ejecutado,,
-28651315,brigada pesada,,
-28652400,brigada pesada,,
-28652378,ejecutado,,
-28652377,brigada pesada,,
-28653450,canasta,,
-28652385,canasta,,
-28653459,canasta,,
-28653358,caja concentradora,,
-28653067,ejecutado,13/1/2025,
-28653457,brigada pesada,,
-28653671,brigada pesada,,
-28653451,ejecutado,,
-28653455,brigada pesada,,
-28653462,ejecutado,,
-28653578,brigada pesada,,
-28653113,ejecutado,,
-28653525,canasta,,
-28652411,canasta,,
-28653068,brigada pesada,,
-28652382,canasta,,
-28640304,especial,,
-28642644,especial,,
-28642648,especial,,
-28653460,brigada pesada,,
-28653499,ejecutado,,
-28653454,ejecutado,,
-28653575,brigada pesada,,
-28653465,brigada pesada,,
-28653064,ejecutado,,
-28653447,canasta,,
-28653469,ejecutado,,
-28640294,especial,,
-28653062,canasta,,
-28653452,especial,,
-28652939,brigada pesada,,
-28649472,ejecutado,,
-28653069,ejecutado,,
-28653670,ejecutado,,
-28653524,brigada pesada,,
-28653458,brigada pesada,,
-28653968,ejecutado,,
-28646766,ejecutado,,
-28653448,brigada pesada,,
-28644200,ejecutado,,
-28652977,brigada pesada,,
-28653898,no programar,,
-28652967,especial,,
-28642880,especial,,
-28640283,especial,14/1/2025,
-28652982,brigada pesada,,
-28654990,brigada pesada,,
-28654822,ejecutado,,
-28653654,ejecutado,,
-28652211,especial,,
-28654989,ejecutado,,
-28654823,ejecutado,,
-28654826,canasta,,
-28654830,canasta,,
-28654828,ejecutado,,
-28654987,brigada pesada,,
-28653748,ejecutado,,
-28642870,especial,,
-28654986,ejecutado,,
-28654817,ejecutado,,
-28642871,especial,,
-28653747,ejecutado,,
-28653579,ejecutado,,
-28645560,ejecutado,,
-28654831,ejecutado,,
-28654992,especial,,
-28653755,brigada pesada,,
-28654981,brigada pesada,,
-28654833,brigada pesada,,
-28648104,canasta,,
-28654199,ejecutado,,
-28649512,ejecutado,,
-28652380,ejecutado,,
-28654835,especial,,
-28653756,ejecutado,,
-28649637,brigada pesada,,
-28655185,ejecutado,,
-28654991,brigada pesada,,
-28654827,ejecutado,,
-28654814,brigada pesada,,
-28654985,especial,,
-28654819,canasta,,
-28642490,especial,,
-28654994,ejecutado,,
-28654984,ejecutado,,
-28596625,canasta,,
-28596626,canasta,,
-28585472,canasta,,
105508095,no programar,,
105579142,no programar,,
106415609,no programar,,
105395885,no programar,,
105396004,no programar,,
106746161,no programar,,
106281685,no programar,,
106752149,no programar,,
103662656,no programar,,
106653281,no programar,,
106751908,no programar,,
106067716,no programar,,
105577995,no programar,,
105578161,no programar,,
105581307,no programar,,
105892366,no programar,,
105892516,no programar,,
107615046,no programar,,
106652724,no programar,,
106652196,no programar,,
106653138,no programar,,
106838599,no programar,,
106653036,no programar,,
106652975,no programar,,
102053982,no programar,,
102054016,no programar,,
102420558,no programar,,
102420593,no programar,,
102684021,no programar,,
102684108,no programar,,
102054194,no programar,,
102054355,no programar,,
102054373,no programar,,
102054388,no programar,,
102054406,no programar,,
102054418,no programar,,
102420659,no programar,,
102420725,no programar,,
107246064,no programar,,
102983901,no programar,,
101727709,no programar,,
101727776,no programar,,
101727870,no programar,,
101727959,no programar,,
101729705,no programar,,
101779703,no programar,,
102775348,no programar,,
103001034,no programar,,
103002116,no programar,,
103249736,no programar,,
103250260,no programar,,
104661749,no programar,,
104661908,no programar,,
104728605,no programar,,
104729038,no programar,,
104834694,no programar,,
106236111,no programar,,
101585206,no programar,,
105292348,no programar,,
102337985,no programar,,
105391852,no programar,,
101767379,no programar,,
101829624,no programar,,
101830241,no programar,,
101846271,no programar,,
101545672,no programar,,
101548401,no programar,,
101780900,no programar,,
101780976,no programar,,
101548339,no programar,,
101548367,no programar,,
103561043,no programar,,
101438952,no programar,,
106068704,no programar,,
-28596619,no programar,,
-28640233,no programar,,
105620696,no programar,,
-28640242,no programar,,
-28630711,no programar,,
-28602403,no programar,,
-28619814,no programar,,
101845897,sin acceso,,
101845931,sin acceso,,
101845966,sin acceso,,
101846187,sin acceso,,
101835779,no programar,,
106463865,no programar,,
107719672,no programar,,
107719705,no programar,,
106463892,no programar,,
106282086,no programar,,
105967636,no programar,,
105970479,no programar,,
106463797,no programar,,
106746598,no programar,,
106746455,no programar,,
106746816,no programar,,
106840321,no programar,,
106931437,no programar,,
107386596,no programar,,
107386667,no programar,,
106071034,no programar,,
105621525,no programar,,
102872146,no programar,,
106826419,no programar,,
103249988,no programar,,
-28605927,no programar,,
105392926,no permite normalizar,,
105292538,no programar,,
105392679,no programar,,
102419125,no programar,,
102419189,no permite normalizar,,
-28626943,no programar,,
-28608359,no programar,,
-28608354,no programar,,
105792597,no pertmite normalizar,,
105792752,no pertmite normalizar,,
105181641,no pertmite normalizar,,
102143489,no programar,,
106981907,no programar,,
-28621329,no programar,,
-28627740,no programar,,
-28604666,no programar,,
-28635058,no programar,,
-28635057,no programar,,
-28634968,no programar,,
-28634878,no programar,,
-28634964,no programar,,
-28634914,no programar,,
-28634904,no programar,,
-28634897,no programar,,
103564790,no programar,,
101841147,no programar,,
-28593932,especial,,
-28605929,especial,,
-28605880,no programar,,
-28565978,no programar,,
-28566187,no programar,,
-28565979,no programar,,
-28566020,no programar,,
-28565982,no programar,,
-28566047,no programar,,
-28565981,no programar,,
-28565991,no programar,,
-28565971,no programar,,
-28589857,no programar,,
-28589853,no programar,,
-28589856,no programar,,
-28589852,no programar,,
-28589822,no programar,,
-28589851,no programar,,
-28589854,no programar,,
